Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,246.925247,249.944504,238.501114,249.474335,249.474335,8265146806
2019-06-07,249.335281,254.352295,246.597900,250.930359,250.930359,8379534527
2019-06-08,251.249313,252.377396,243.229111,245.738098,245.738098,7225996863
2019-06-09,245.540482,245.972824,229.257431,233.086700,233.086700,7566421455
2019-06-10,232.830139,247.662170,229.341766,247.520126,247.520126,8141159847
2019-06-11,247.862122,248.662582,239.825348,245.781830,245.781830,7382269700
2019-06-12,245.925491,261.017578,244.491318,260.903290,260.903290,8645598617
2019-06-13,260.913513,262.163116,255.596283,256.168793,256.168793,8442077836
2019-06-14,256.179657,265.371399,254.147430,264.087463,264.087463,8676891266
2019-06-15,263.934143,271.505585,262.121216,269.019318,269.019318,8126853943
2019-06-16,268.901154,278.143188,265.535339,269.223206,269.223206,9676746452
2019-06-17,269.090576,275.442566,268.353790,274.351105,274.351105,6009795781
2019-06-18,274.320251,274.320251,263.144440,265.051849,265.051849,6205242503
2019-06-19,265.056854,270.333374,264.754791,269.431793,269.431793,5516510947
2019-06-20,269.407867,274.073517,265.500458,271.695007,271.695007,6408981097
2019-06-21,271.743103,295.303314,271.743103,294.910278,294.910278,9331694139
2019-06-22,295.115082,315.189728,294.728241,309.380310,309.380310,10613731254
2019-06-23,309.416687,318.565674,305.764587,307.827789,307.827789,8161062379
2019-06-24,307.722137,312.329346,299.559540,310.424683,310.424683,8205712062
2019-06-25,310.678619,318.126312,307.643158,318.126312,318.126312,9641764965
2019-06-26,317.992584,361.398682,315.954865,336.753174,336.753174,16437084081
2019-06-27,336.959900,343.433441,278.573242,294.267639,294.267639,14038092502
2019-06-28,294.143036,313.031555,292.939819,311.226105,311.226105,11514656819
2019-06-29,311.284424,322.043549,294.753845,320.058929,320.058929,10929374564
2019-06-30,319.584045,322.789581,290.695984,290.695984,290.695984,10303111000
2019-07-01,290.268494,301.026154,280.022827,293.641113,293.641113,10292223947
2019-07-02,293.537262,295.655853,272.602570,291.596436,291.596436,10618413951
2019-07-03,291.764618,303.342041,291.401642,303.099976,303.099976,9926711979
2019-07-04,303.025085,303.961151,282.765747,284.523224,284.523224,8403513105
2019-07-05,284.380920,293.921143,282.694702,287.997528,287.997528,8723493015
2019-07-06,287.893829,295.991425,286.665863,287.547119,287.547119,7674615024
2019-07-07,287.603607,310.139313,286.109192,305.700562,305.700562,8119724980
2019-07-08,305.734772,314.267883,303.500458,313.251404,313.251404,9078905628
2019-07-09,313.325165,318.223114,305.285828,308.881012,308.881012,10055159802
2019-07-10,308.851288,313.069458,285.565796,290.002319,290.002319,11679985166
2019-07-11,289.945984,290.021057,266.094666,268.704041,268.704041,10216287021
2019-07-12,268.692261,278.855591,268.000031,276.276703,276.276703,8148936015
2019-07-13,276.289124,276.685242,263.068268,269.458801,269.458801,6716829429
2019-07-14,269.281616,269.641235,227.269211,227.578064,227.578064,8578339385
2019-07-15,227.965057,235.025650,210.391266,229.776001,229.776001,9723674243
2019-07-16,229.748657,234.513840,197.377899,199.188675,199.188675,9036620493
2019-07-17,199.066788,217.975632,193.990417,211.484970,211.484970,9387747639
2019-07-18,211.444611,229.239395,208.037735,226.566162,226.566162,9327816059
2019-07-19,226.657700,226.940475,215.838242,221.333420,221.333420,7606433130
2019-07-20,221.412659,234.198456,221.189484,229.119217,229.119217,7976245988
2019-07-21,229.167694,229.861664,219.027756,225.630768,225.630768,6685082868
2019-07-22,225.698654,226.862579,213.448380,217.560013,217.560013,6338843918
2019-07-23,217.568466,218.518051,209.638123,212.728516,212.728516,6976091534
2019-07-24,212.553818,217.535431,203.893402,217.046371,217.046371,7168982842
2019-07-25,216.969116,224.254196,216.135147,219.617996,219.617996,6731281160
2019-07-26,219.628128,220.236389,214.125687,219.629608,219.629608,5729852177
2019-07-27,219.617630,223.517258,204.903931,207.408310,207.408310,6257703907
2019-07-28,207.413773,212.041840,202.252899,211.186554,211.186554,5504887933
2019-07-29,211.123657,213.932053,208.764313,211.268051,211.268051,5485190664
2019-07-30,211.339203,213.614075,206.867615,210.522598,210.522598,5489918858
2019-07-31,210.492416,218.654144,210.437912,218.654144,218.654144,6003828339
2019-08-01,218.554596,218.812653,212.914505,217.808441,217.808441,5965442642
2019-08-02,217.884460,222.182571,215.975830,217.871567,217.871567,6159440229
2019-08-03,217.895554,224.623230,217.331741,222.490341,222.490341,5697798687
2019-08-04,222.580811,224.227295,218.492172,222.669724,222.669724,5238542572
2019-08-05,222.650879,235.635284,222.603882,234.215027,234.215027,7765060287
2019-08-06,234.245590,239.115906,223.551178,226.020645,226.020645,7647742672
2019-08-07,225.925293,229.656570,222.775452,226.391006,226.391006,7020342209
2019-08-08,226.518478,226.774719,216.516251,220.941864,220.941864,6713525643
2019-08-09,220.908646,221.364334,208.245972,210.488907,210.488907,6964818794
2019-08-10,210.530167,213.734833,203.793106,206.733536,206.733536,6584748527
2019-08-11,206.732239,216.598648,206.510803,216.092865,216.092865,6440605604
2019-08-12,216.055908,216.142563,210.946487,211.288071,211.288071,5674315558
2019-08-13,211.342697,211.384415,205.422501,208.709045,208.709045,5946313204
2019-08-14,208.603989,209.066437,186.331924,186.607742,186.607742,7444456153
2019-08-15,186.683502,189.462158,178.142563,188.502060,188.502060,8197244441
2019-08-16,188.644257,188.905594,180.384842,185.440079,185.440079,7133915837
2019-08-17,185.531662,186.703140,182.593887,185.687683,185.687683,5512696512
2019-08-18,185.841095,197.522491,183.692230,194.493530,194.493530,5969012023
2019-08-19,194.556030,203.560150,193.108246,203.091934,203.091934,6145148691
2019-08-20,202.813141,203.015991,195.619537,196.565414,196.565414,6408417609
2019-08-21,196.621689,197.027435,182.689178,186.891632,186.891632,7775772700
2019-08-22,186.941238,194.415512,183.384521,191.332916,191.332916,7569043874
2019-08-23,191.106873,195.906494,189.562317,194.706207,194.706207,6658162376
2019-08-24,194.671631,194.784988,187.627258,191.289566,191.289566,6249737981
2019-08-25,191.234787,192.163330,184.964752,186.842392,186.842392,5826017143
2019-08-26,186.735550,193.442184,186.735550,188.929382,188.929382,7207986636
2019-08-27,188.950058,188.963181,185.472931,187.516663,187.516663,6042327402
2019-08-28,187.495499,187.930878,172.185608,173.889969,173.889969,6696604087
2019-08-29,173.958694,173.996399,167.170898,169.516739,169.516739,7129569082
2019-08-30,169.489288,170.773514,167.071411,168.834869,168.834869,5776520220
2019-08-31,168.887894,174.323975,167.802582,172.469788,172.469788,5830212248
2019-09-01,172.458405,173.696854,169.531281,171.629425,171.629425,5554799575
2019-09-02,171.697601,180.145218,170.451691,178.347351,178.347351,6503447136
2019-09-03,178.357758,182.347992,175.970169,179.499329,179.499329,6962728937
2019-09-04,179.491989,180.136597,175.325363,175.992889,175.992889,5938120493
2019-09-05,175.966278,176.163910,171.746826,174.217133,174.217133,5589476515
2019-09-06,174.172226,177.718704,168.341339,169.956177,169.956177,6797611877
2019-09-07,169.955276,180.851608,169.444122,178.262619,178.262619,6791531341
2019-09-08,178.282593,182.977081,178.142502,181.355530,181.355530,6472677265
2019-09-09,181.362488,184.149460,177.419357,181.149475,181.149475,7232938985
2019-09-10,181.212845,184.063431,178.122421,179.787170,179.787170,6291476771
2019-09-11,179.839493,181.757462,176.500916,178.725494,178.725494,7157139034
2019-09-12,178.803772,181.998566,177.847321,181.016098,181.016098,5838605476
2019-09-13,180.975586,181.498291,178.582047,181.109726,181.109726,5955041236
2019-09-14,181.321579,188.446930,180.372208,188.105515,188.105515,6500686511
2019-09-15,188.068436,190.399338,186.447327,189.789124,189.789124,6222874780
2019-09-16,189.689331,198.204971,189.689331,197.113174,197.113174,8242029487
2019-09-17,197.114761,213.731949,196.715485,208.608749,208.608749,10232590812
2019-09-18,208.050598,216.711502,208.050598,211.393036,211.393036,9194634557
2019-09-19,211.247238,222.871689,204.685776,221.280853,221.280853,10620070912
2019-09-20,221.069626,221.598557,215.159637,218.050049,218.050049,8027974272
2019-09-21,217.897385,220.958298,215.000168,215.516205,215.516205,7743309777
2019-09-22,215.486557,216.086243,207.644928,211.545380,211.545380,7812854575
2019-09-23,211.713211,211.840515,201.887238,201.921310,201.921310,7494673136
2019-09-24,201.842087,203.500549,162.727783,168.110733,168.110733,11757739233
2019-09-25,168.133575,174.719772,164.913483,170.892700,170.892700,9766632017
2019-09-26,170.756912,171.692642,157.130325,166.727127,166.727127,7848286154
2019-09-27,166.651703,175.610779,163.209503,174.710999,174.710999,7909313624
2019-09-28,174.680832,175.778732,170.773956,174.572891,174.572891,6895423445
2019-09-29,174.612747,175.210220,166.997696,170.503479,170.503479,6497088198
2019-09-30,170.461349,179.872208,167.036606,179.872208,179.872208,7552915148
2019-10-01,180.209122,185.045532,175.812653,177.340424,177.340424,7676276225
2019-10-02,177.224060,180.826126,175.334274,180.710510,180.710510,6335595249
2019-10-03,180.703705,180.799210,172.599869,175.199341,175.199341,6381403724
2019-10-04,175.238434,178.552078,173.564087,176.985001,176.985001,6248928449
2019-10-05,176.946320,177.713242,173.069565,176.351517,176.351517,5837211771
2019-10-06,176.364380,177.364548,171.299774,173.059143,173.059143,5852890673
2019-10-07,172.940338,182.356354,171.527817,181.186340,181.186340,7844316833
2019-10-08,181.113358,184.359970,179.133392,182.021561,182.021561,7466282780
2019-10-09,182.036301,194.300491,180.668442,193.293259,193.293259,9088122101
2019-10-10,193.191071,193.896927,188.306473,191.659668,191.659668,8375913275
2019-10-11,191.801071,195.318802,181.661835,182.569687,182.569687,9128522969
2019-10-12,182.534027,186.304886,179.984833,180.826645,180.826645,7494328840
2019-10-13,180.861313,185.075912,180.317154,182.075150,182.075150,6733182272
2019-10-14,182.028473,187.303619,181.662277,186.960907,186.960907,7276520699
2019-10-15,186.977051,187.759872,179.462784,181.406067,181.406067,7731456579
2019-10-16,181.343735,181.668610,174.064163,176.013504,176.013504,7691244590
2019-10-17,175.906891,178.899551,174.565826,178.028351,178.028351,6737237422
2019-10-18,177.988556,178.179794,171.005051,173.621338,173.621338,7566257807
2019-10-19,173.649445,175.608231,172.215454,172.913025,172.913025,6551453871
2019-10-20,172.974762,176.718689,171.210724,175.534378,175.534378,6801091120
2019-10-21,175.524750,177.741730,173.287750,174.920990,174.920990,6815820627
2019-10-22,174.905060,175.650024,172.266235,172.300858,172.300858,6990951966
2019-10-23,172.262802,172.420578,157.463425,162.402786,162.402786,9624925919
2019-10-24,162.514114,164.147568,160.887955,162.168533,162.168533,7300917536
2019-10-25,162.189713,183.000122,161.966019,181.523209,181.523209,10358594018
2019-10-26,181.667068,195.942505,176.133804,179.835480,179.835480,13831784985
2019-10-27,179.932632,188.155334,177.682358,184.242218,184.242218,10815941952
2019-10-28,184.397507,187.883148,180.249557,182.662811,182.662811,10406734124
2019-10-29,182.670380,191.846756,182.364365,190.342575,190.342575,10622761957
2019-10-30,190.336395,191.111938,181.546371,184.692169,184.692169,10484902804
2019-10-31,184.797623,188.751266,180.068359,183.966919,183.966919,9607939606
2019-11-01,183.803696,185.059708,181.094498,183.969910,183.969910,9145611130
2019-11-02,184.018158,185.708954,182.797668,183.925720,183.925720,8087991830
2019-11-03,183.994827,185.024216,179.818146,182.425018,182.425018,8760247743
2019-11-04,182.319031,188.022934,181.821609,186.355194,186.355194,10551917945
2019-11-05,186.309311,191.257828,184.331985,189.304169,189.304169,10024177342
2019-11-06,189.113495,193.547241,188.667679,191.593842,191.593842,10156458684
2019-11-07,191.504303,191.861099,186.567001,187.976547,187.976547,9081247798
2019-11-08,187.924271,188.815979,182.541367,184.211472,184.211472,9176780911
